rho[g/cm^3]	U[kJ/kg]	P[GPa]	T[K]
43.72435778787411	107604.63175388119	12039.277447022105	300.0
44.612162006917245	113249.04906959136	12741.901140835773	300.0
45.53674983306622	119226.87298734262	13500.991344961782	300.0
46.25576797559314	123942.2743338988	14106.558522511605	300.0
46.997839119586615	128870.83738444763	14749.435520131734	300.0
47.76409000749145	134024.53650008576	15428.320223081328	300.0
48.55577853791545	139417.5581704623	16146.617661891583	300.0
49.374134355970206	145063.21689216886	16909.239471661218	300.0
50.220527936502144	150978.23791358492	17724.02615666329	300.0
51.09648788001568	157179.97200504242	18583.374747600403	300.0
52.00350451886177	163683.90759282585	19497.578196632552	300.0
52.94332649212975	170511.94088314736	20475.617838910737	300.0
53.917743124357116	177684.60150135698	21514.044719180187	300.0
54.928724471016864	185225.25225699728	22631.54491653551	300.0
55.978317932246476	193161.21712843503	23822.36994792207	300.0
57.068778623410175	201516.4346122436	25089.82455854923	300.0
58.20259488999222	210322.8922454914	26459.71548036497	300.0
59.38237665908648	219614.74209213394	27930.25687247937	300.0
60.61097696050171	229426.00728008218	29496.94430051069	300.0
61.89155113643868	239793.25780587163	31178.51926751629	300.0
63.22727680256639	250759.65832690924	33006.62906017058	300.0
64.6220287894316	262378.4067690452	34988.05347786561	300.0
66.07966853656164	274700.33307794365	37120.08660607565	300.0
67.60454744758239	287781.4435637583	39433.29968143469	300.0
69.20154264065117	301689.35042511224	41960.872263789046	300.0
70.87577351098949	316491.94195060944	44707.19054115662	300.0
71.45199931189185	321637.89702940953	45693.80806590238	300.0
72.03771290029198	326895.043510585	46692.58828896349	300.0
72.63306624496865	332266.29685294366	47698.07744984765	300.0
73.23829929468913	337752.60450710874	48734.86974666079	300.0
73.85370360816212	343360.19066322106	49821.54243557963	300.0
74.4796264013788	349092.40483727877	50905.50100718287	300.0
75.11620440480938	354949.54110216873	52045.80265583358	300.0
75.76375789105774	360939.52461635723	53207.13048155976	300.0
76.42252651294862	367060.7527883836	54393.98239645845	300.0
77.09289913961113	373322.10422166425	55633.23310500181	300.0
77.77518509170528	379724.9789946137	56889.887206203	300.0
78.46960638716693	386274.00387744955	58205.29650157383	300.0
79.17653977804231	392974.4132970083	59546.14913206672	300.0
79.89632650329725	399829.002356095	60924.84400592883	300.0
80.62926838158322	406842.92191407754	62343.206129197264	300.0
81.37583519600747	414020.47622479114	63796.6098251997	300.0
82.1364643268019	421368.2323282928	65317.89675214485	300.0
82.9112822204028	428890.02774647233	66874.46765717254	300.0
83.70091347964475	436591.156731505	68470.14187406031	300.0
84.50567289800257	444477.2823608274	70128.93203744295	300.0
85.32611576486352	452555.22026131843	71826.90045480483	300.0
86.16276436954648	460830.9620210738	73594.61422612547	300.0
87.01586163958464	469310.87169700686	75423.86207090558	300.0
87.88595915362697	478000.29325868416	77294.7401520013	300.0
88.77369611477472	486907.47108996403	79236.62464495323	300.0
89.6795501567622	496039.62020207435	81250.18724159869	300.0
90.60401601204028	505403.5283660599	83312.85830916345	300.0
91.54787411836143	515007.3600418842	85452.41718488376	300.0
92.51153595118627	524859.7427779321	87680.71198491368	300.0
93.49563138424774	534968.6858878	89982.09543222177	300.0
94.50095999489598	545345.0516152073	92362.87733021707	300.0
95.52821647133366	555997.4481152087	94816.4470400988	300.0
96.57797709189776	566934.2338983016	97381.11711594228	300.0
97.65106572625218	578168.8713202066	100035.8404111728	300.0
98.74826871194041	589709.9010708916	102777.45148668798	300.0
99.87040812912156	601570.2772841819	105646.14359732164	300.0
101.01834385474365	613762.2143279045	108584.31144058064	300.0
102.19305920160049	626295.7299559058	111667.5709819193	300.0
103.39516064678168	639186.6728395815	114863.39355138392	300.0
104.62605438742077	652447.0905644047	118180.02925923649	300.0
105.88660819310272	666095.548861287	121630.84964032508	300.0
107.17799896783778	680142.5496112482	125204.2951315306	300.0
108.50118414028022	694607.0454708636	128951.75915814083	300.0
109.85744894203373	709505.241007892	132840.0260497009	300.0
111.24795067791382	724855.6980746177	136910.4771628624	300.0
