V[Angstroms^3]	rho[g/cm^3]	P[GPa]	Pst.dev.[GPa]	T[K]	Tst.dev.[K]	source_unique_id	source_citation	source_year	science_material	science_formula	science_phase	science_method	data_delimiter	MDsteps	dP[GPa]	dT[K]	U[kJ/kg]
	2.503	0.21		2001.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	1104.0	0.71	99.0	
	2.391	0.24		2001.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	5604.0	0.78	95.0	
	2.187	-1.37		1999.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	3678.0	0.7	87.0	
	2.004	-1.92		2001.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	3496.0	0.69	97.0	
	1.842	-2.15		2001.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	1719.0	0.51	108.0	
	6.217	242.93		2500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	13000.0	1.6	118.0	
	5.5	150.86		2500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	13000.0	1.32	125.0	
	4.89	90.73		2500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	6129.0	1.48	117.0	
	4.366	54.34		2500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4415.0	1.91	112.0	
	3.915	33.6		2500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	6446.0	1.26	122.0	
	3.524	20.22		2500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	11123.0	1.29	125.0	
	3.183	11.61		2500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	13000.0	1.12	115.0	
	3.029	8.13		2500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	2807.0	1.12	107.0	
	2.885	5.73		2500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	6046.0	1.05	119.0	
	2.75	4.02		2500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	10036.0	0.96	113.0	
	2.623	2.11		2500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	3717.0	0.86	104.0	
	2.503	0.94		2501.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4562.0	0.92	120.0	
	2.391	0.34		2500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	7762.0	0.83	112.0	
	2.286	-0.49		2500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	3753.0	0.85	119.0	
	2.187	-0.96		2500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	5881.0	0.87	121.0	
	2.004	-1.06		2500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	8009.0	0.77	124.0	
	6.217	246.4		3000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	8500.0	1.54	134.0	
	5.5	154.34		3000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	20843.0	1.42	139.0	
	5.183	120.59		2999.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4000.0	1.49	142.0	
	4.89	94.05		3000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	8041.0	1.5	152.0	
	4.366	57.54		3000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	6246.0	1.58	145.0	
	4.132	45.39		3000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	3399.0	1.45	162.0	
	3.915	36.55		3001.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4176.0	1.94	148.0	
	3.524	22.02		3000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	5916.0	1.39	138.0	
	3.183	13.18		3000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	8495.0	1.21	142.0	
	3.029	9.69		3000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	5957.0	1.52	126.0	
	2.885	7.2		3000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4000.0	1.02	131.0	
	2.803	5.64		3000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4000.0	1.09	135.0	
	2.75	4.9		3000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	9990.0	1.1	133.0	
	2.698	3.7		3000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4152.0	1.05	141.0	
	2.623	3.1		3000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	9866.0	0.98	136.0	
	2.562	2.3		3001.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4000.0	0.93	136.0	
	2.503	1.79		3000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4791.0	1.03	147.0	
	2.447	1.22		3000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4000.0	0.92	150.0	
	2.391	0.61		3000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	5923.0	1.0	137.0	
	2.327	0.16		3002.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	1650.0	0.99	129.0	
	2.286	0.12		3000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	3548.0	0.93	138.0	
	2.245	-0.09		3000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	3871.0	1.1	135.0	
	2.187	-0.37		3000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	6217.0	0.93	149.0	
	5.5	158.34		3500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4500.0	1.84	166.0	
	5.183	126.16		3500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	5000.0	1.74	169.0	
	4.89	100.32		3500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	5000.0	1.52	156.0	
	4.366	62.08		3500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	60049.0	1.69	164.0	
	3.915	39.49		3499.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	7856.0	1.49	159.0	
	3.524	24.41		3500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	3936.0	1.34	172.0	
	3.183	14.54		3501.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4500.0	1.32	157.0	
	3.029	10.93		3499.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4000.0	1.44	161.0	
	2.885	8.02		3500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4094.0	2.54	1472.0	
	2.803	6.95		3500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	5038.0	1.12	157.0	
	2.75	5.85		3500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4000.0	1.09	166.0	
	2.698	4.97		3501.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4000.0	1.17	179.0	
	2.623	4.12		3500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	2000.0	1.05	172.0	
	2.503	2.74		3500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	3950.0	1.05	169.0	
	2.391	1.55		3500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4500.0	1.06	171.0	
	2.286	0.82		3500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4000.0	0.91	161.0	
	2.187	0.23		3500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4500.0	1.18	224.0	
	2.093	-0.1		3499.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	6237.0	0.94	159.0	
	2.004	-0.41		3501.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	3445.0	0.92	157.0	
	5.183	129.47		4000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	13632.0	2.03	196.0	
	4.89	104.62		4001.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	12000.0	1.72	188.0	
	4.366	66.44		4000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	9500.0	1.75	184.0	
	4.132	53.08		4000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	12194.0	1.69	185.0	
	3.915	42.47		4000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	8795.0	1.74	180.0	
	3.524	26.7		4000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	9500.0	1.42	180.0	
	3.183	16.48		3999.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	9500.0	1.38	185.0	
	3.029	12.72		4000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	2457.0	1.27	194.0	
	2.885	9.76		4000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	7620.0	1.22	188.0	
	2.75	7.1		4001.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	2000.0	1.05	212.0	
	2.698	6.38		3999.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	2000.0	1.17	166.0	
	2.623	5.19		4000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	13739.0	1.18	186.0	
	2.503	3.62		3999.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4601.0	1.16	188.0	
	2.391	2.53		4000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	9500.0	1.06	184.0	
	2.286	1.81		4000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4355.0	1.01	171.0	
	2.245	1.45		4003.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	1517.0	1.05	181.0	
	2.187	0.96		4000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	7846.0	0.96	191.0	
	2.004	0.08		4000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	8755.0	0.93	176.0	
	1.842	-0.34		4000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	7502.0	0.86	188.0	
	1.697	-0.47		4001.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	7353.0	0.81	175.0	
	5.5	167.76		4500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4000.0	2.22	225.0	
	4.89	108.38		4500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4000.0	1.94	200.0	
	4.366	70.57		4500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	5461.0	1.85	211.0	
	3.915	45.59		4500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	8000.0	1.71	213.0	
	3.524	29.16		4499.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4000.0	1.62	201.0	
	3.183	18.29		4499.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4888.0	1.48	216.0	
	3.029	14.22		4500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	3674.0	1.25	194.0	
	2.885	11.04		4499.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	8000.0	1.23	206.0	
	2.75	8.57		4501.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4000.0	1.22	207.0	
	2.623	6.54		4499.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4000.0	1.2	213.0	
	2.503	4.97		4501.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	3918.0	1.18	231.0	
	2.391	3.57		4501.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4438.0	1.01	212.0	
	2.187	1.66		4501.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4000.0	0.96	206.0	
	2.004	0.76		4498.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4000.0	0.89	206.0	
	1.842	0.02		4501.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4707.0	0.84	189.0	
	5.5	172.87		5001.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4000.0	2.23	243.0	
	5.183	139.88		5000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4000.0	2.05	237.0	
	4.89	113.3		4999.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4000.0	2.11	247.0	
	4.366	74.49		5000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4000.0	1.92	241.0	
	4.132	59.84		4999.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4000.0	1.98	226.0	
	3.915	48.72		4999.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4000.0	1.75	244.0	
	3.524	31.8		4999.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4000.0	1.58	231.0	
	3.183	20.36		4999.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	3615.0	1.43	222.0	
	2.885	12.6		5000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	8000.0	1.32	247.0	
	2.623	7.62		4999.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4000.0	1.18	236.0	
	2.503	6.1		4999.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4000.0	1.08	239.0	
	2.391	4.7		5000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	3963.0	1.05	246.0	
	2.187	2.74		5000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	3939.0	1.05	213.0	
	2.004	1.33		4998.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	3753.0	0.91	250.0	
	1.842	0.72		5001.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	3833.0	0.87	219.0	
	1.697	0.31		5000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4353.0	0.82	233.0	
